#x y co10 co21 13co10 13co21 c18o21 1.45GHz b3 b6 halpha ssc_density
151.00992 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.0095 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.0095 -6.4822452 30.084 70.783 0.0 0.0 0.0 0.0 0.0 0.0 1.9141e-16 0.31
151.0095 -6.4815235 54.581 137.959 0.0 6.581 0.0 0.0 0.0 0.0 5.4415e-16 14.35
151.0095 -6.4808019 28.803 81.902 0.0 0.0 0.0 0.0 0.0 0.0 7.2805e-16 2.13
151.0095 -6.4800802 16.523 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6894e-16 0.21
151.0095 -6.4793585 21.716 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3226e-16 0.0
151.0095 -6.4786368 14.059 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.09e-16 0.0
151.0095 -6.4779151 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.71e-17 1.55
151.0095 -6.4771934 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.173e-16 37.8
151.0095 -6.4764717 20.475 92.82 0.0 0.0 0.0 0.0 0.0 0.0 1.5571e-16 8.57
151.0095 -6.47575 75.413 303.124 0.0 0.0 0.0 0.0169 0.0 0.005683 3.931e-16 24.46
151.0095 -6.4750284 225.428 748.684 0.0 32.39 0.0 0.03355 0.003058 0.012222 1.24163e-15 79.73
151.0095 -6.4743067 341.937 1024.944 7.619 52.456 0.0 0.04944 0.003104 0.01761 1.70876e-15 282.04
151.0095 -6.473585 46.972 166.063 0.0 0.0 0.0 0.0 0.0 0.0 6.8656e-16 174.17
151.0095 -6.4728633 0.0 29.188 0.0 0.0 0.0 0.0 0.0 0.0 3.792e-16 41.3
151.0095 -6.4721416 0.0 29.794 0.0 0.0 0.0 0.0 0.0 0.0 4.8498e-16 126.05
151.0095 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.6418e-16 128.74
151.0095 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8859e-16 7.17
151.0095 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01
151.0095 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.0095 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.0095 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.0095 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00909 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.11
151.00909 -6.4822452 29.062 68.375 0.0 0.0 0.0 0.0 0.0 0.0 1.9008e-16 0.05
151.00909 -6.4815235 46.12 99.77 0.0 0.0 0.0 0.0 0.0 0.0 1.9794e-16 0.5
151.00909 -6.4808019 25.135 53.924 0.0 0.0 0.0 0.0 0.0 0.0 3.1872e-16 0.03
151.00909 -6.4800802 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1592e-16 0.0
151.00909 -6.4793585 9.88 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00909 -6.4786368 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.255e-17 0.23
151.00909 -6.4779151 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.38
151.00909 -6.4771934 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24.52
151.00909 -6.4764717 51.057 177.653 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.46
151.00909 -6.47575 201.142 617.502 0.0 31.035 0.0 0.03873 0.001994 0.010855 5.2021e-16 96.77
151.00909 -6.4750284 461.137 1476.166 21.477 106.898 0.0 0.08564 0.00958 0.037022 2.62677e-15 177.58
151.00909 -6.4743067 516.455 1543.298 23.752 94.393 19.387 0.08127 0.007283 0.029699 2.61885e-15 331.82
151.00909 -6.473585 92.722 268.409 0.0 0.0 0.0 0.0 0.0 0.0 9.8338e-16 213.19
151.00909 -6.4728633 36.213 84.498 0.0 3.558 0.0 0.0 0.0 0.0 3.5215e-16 39.23
151.00909 -6.4721416 23.578 67.101 0.0 0.0 0.0 0.0 0.0 0.0 8.7239e-16 127.83
151.00909 -6.4714199 10.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.23668e-15 112.04
151.00909 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3474e-16 11.17
151.00909 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.41
151.00909 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.14
151.00909 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00909 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00909 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00867 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0531e-16 5.35
151.00867 -6.4822452 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3182e-16 2.83
